1,8.57979,1
2,4.8007,1.78719
3,3.11391,2.75531
4,2.3166,3.70362
5,1.82106,4.71142
6,1.51888,5.64876
7,1.30509,6.57411
8,1.20421,7.12481
9,1.20663,7.11054
10,1.17184,7.32166
11,0.893367,9.60388
12,0.995463,8.6189
13,0.727375,11.7956
14,0.776195,11.0537
15,0.653347,13.1321
16,0.573449,14.9617
17,0.558665,15.3577
18,0.534024,16.0663
19,0.545157,15.7382
20,0.502183,17.085
21,0.506891,16.9263
22,0.448659,19.1232
23,0.439707,19.5125
24,0.424467,20.2131
25,0.413684,20.74
26,0.41271,20.7889
27,0.39941,21.4812
28,0.515823,16.6332
29,0.38006,22.5749
30,0.436043,19.6765
31,0.366227,23.4275
32,0.371915,23.0692
33,0.358356,23.9421
34,0.400011,21.4489
35,0.346335,24.7731
36,0.519968,16.5006
37,0.508629,16.8685
38,0.498203,17.2215
39,0.489748,17.5188
40,0.474515,18.0812
41,0.495322,17.3217
42,0.499585,17.1738
43,0.443162,19.3604
44,0.457671,18.7467
45,0.442624,19.3839
46,0.427453,20.0719
47,0.418627,20.4951
48,0.413372,20.7556
49,0.405708,21.1477
50,0.399892,21.4553
51,0.391618,21.9086
52,0.386828,22.1799
53,0.379114,22.6312
54,0.378615,22.661
55,0.378629,22.6601
56,0.380931,22.5232
57,0.384044,22.3407
58,0.376225,22.8049
59,0.362357,23.6777
60,0.35084,24.455
61,0.340384,25.2062
62,0.340786,25.1765
63,0.345346,24.844
64,0.353611,24.2634
65,0.360397,23.8065
66,0.344489,24.9058
67,0.349556,24.5448
68,0.349904,24.5204
69,0.349885,24.5217
70,0.352307,24.3532
71,0.336126,25.5256
72,0.341058,25.1564
73,0.331926,25.8485
74,0.32038,26.7801
75,0.307133,27.9351
76,0.32606,26.3136
77,0.333694,25.7115
78,0.355396,24.1415
79,0.354307,24.2157
80,0.44555,19.2566
